Petromyzon marinus
Lampetra fluviatilis
Lampetra planeri
Lampetra japonica
Rutilus rutilus
Leuciscus leuciscus
Leuciscus cephalus
Leuciscus idus
Phoxinus phoxinus
Scardinius erythrophthalmus
Aspius aspius
Tinca tinca
Alburnus alburnus
Blicca bjoerkna
Abramis brama
Carassius carassius
Carassius auratus
Cyprinus carpio
Gobio gobio
Leucaspius delineatus
Ictalurus nebulosus
Esox lucius
Osmerus eperlanus
Salmo salar
Salmo trutta
Oncorhynchus mykiss
Oncorhynchus gorbuscha
Oncorhynchus keta
Salvelinus alpinus
Salvelinus fontinalis
Salvelinus namaycush
Coregonus lavaretus
Coregonus albula
Thymallus thymallus
Lota lota
Gasterosteus aculeatus
Pungitius pungitius
Cottus gobio
Cottus poecilopus
Myoxocephalus quadricornis
Perca fluviatilis
Sander lucioperca
Gymnocephalus cernuus
Lepomis gibbosus
